DAC0_V,DAC1_V,Diff0_V,Diff1_V,ADS0_V,ADS1_V,ADS0_Raw,ADS1_Raw,DAC0_Raw,DAC1_Raw,Vref
2.70873,2.70873,0.00727,0.00892,2.70146,2.69981,14407.80,14399.00,17700,17700,5.01452
2.72452,2.72452,0.00714,0.00892,2.71738,2.71560,14492.70,14483.20,17800,17800,5.01542
2.73985,2.73985,0.00798,0.00968,2.73187,2.73017,14570.00,14560.90,17900,17900,5.01546
2.75480,2.75480,0.00726,0.00858,2.74753,2.74622,14653.50,14646.50,18000,18000,5.01480
2.77051,2.77051,0.00836,0.00969,2.76216,2.76083,14731.50,14724.40,18100,18100,5.01555
2.78578,2.78578,0.00776,0.00872,2.77802,2.77706,14816.10,14811.00,18200,18200,5.01547
2.80133,2.80133,0.00876,0.00979,2.79257,2.79154,14893.70,14888.20,18300,18300,5.01591
2.81612,2.81612,0.00744,0.00849,2.80868,2.80763,14979.60,14974.00,18400,18400,5.01499
2.83111,2.83111,0.00752,0.00985,2.82358,2.82126,15059.10,15046.70,18500,18500,5.01442
2.84675,2.84675,0.00733,0.00965,2.83942,2.83710,15143.60,15131.20,18600,18600,5.01503
2.86185,2.86185,0.00782,0.00973,2.85403,2.85212,15221.50,15211.30,18700,18700,5.01467
2.87739,2.87739,0.00769,0.00971,2.86971,2.86768,15305.10,15294.30,18800,18800,5.01508
2.89270,2.89270,0.00812,0.01032,2.88458,2.88238,15384.40,15372.70,18900,18900,5.01508
2.90814,2.90814,0.00801,0.00956,2.90014,2.89858,15467.40,15459.10,19000,19000,5.01533
2.92318,2.92318,0.00821,0.00982,2.91497,2.91336,15546.50,15537.90,19100,19100,5.01486
2.93847,2.93847,0.00764,0.00886,2.93083,2.92961,15631.10,15624.60,19200,19200,5.01484
2.95359,2.95359,0.00824,0.00946,2.94534,2.94412,15708.50,15702.00,19300,19300,5.01452
2.96896,2.96896,0.00760,0.00897,2.96136,2.95999,15793.90,15786.60,19400,19400,5.01463
2.98424,2.98424,0.00715,0.01019,2.97709,2.97405,15877.80,15861.60,19500,19500,5.01459
2.99964,2.99964,0.00651,0.00960,2.99314,2.99004,15963.40,15946.90,19600,19600,5.01476
3.01506,3.01506,0.00739,0.01051,3.00767,3.00456,16040.90,16024.30,19700,19700,5.01495
3.03037,3.03037,0.00697,0.00984,3.02340,3.02053,16124.80,16109.50,19800,19800,5.01495
3.04571,3.04571,0.00761,0.01038,3.03810,3.03533,16203.20,16188.40,19900,19900,5.01501
3.06072,3.06072,0.00684,0.00909,3.05389,3.05164,16287.40,16275.40,20000,20000,5.01454
3.07603,3.07603,0.00733,0.00958,3.06870,3.06645,16366.40,16354.40,20100,20100,5.01454
3.09182,3.09182,0.00754,0.00990,3.08428,3.08192,16449.50,16436.90,20200,20200,5.01533
3.10688,3.10688,0.00805,0.01024,3.09883,3.09664,16527.10,16515.40,20300,20300,5.01493
3.12187,3.12187,0.00704,0.00924,3.11483,3.11263,16612.40,16600.70,20400,20400,5.01442
3.13674,3.13674,0.00841,0.01023,3.12832,3.12651,16684.40,16674.70,20500,20500,5.01373
3.15222,3.15222,0.00833,0.01039,3.14389,3.14183,16767.40,16756.40,20600,20600,5.01401
3.16747,3.16747,0.00875,0.01089,3.15872,3.15658,16846.50,16835.10,20700,20700,5.01394
3.18246,3.18246,0.00766,0.00953,3.17481,3.17293,16932.30,16922.30,20800,20800,5.01345
3.19815,3.19815,0.00879,0.01063,3.18936,3.18752,17009.90,17000.10,20900,20900,5.01405
3.21353,3.21353,0.00874,0.00994,3.20479,3.20359,17092.20,17085.80,21000,21000,5.01418
3.22883,3.22883,0.00948,0.01075,3.21936,3.21808,17169.90,17163.10,21100,21100,5.01418
3.24429,3.24429,0.00894,0.01022,3.23535,3.23408,17255.20,17248.40,21200,21200,5.01442
3.25939,3.25939,0.00958,0.01048,3.24981,3.24891,17332.30,17327.50,21300,21300,5.01411
3.27457,3.27457,0.00879,0.00990,3.26578,3.26467,17417.50,17411.60,21400,21400,5.01392
3.29041,3.29041,0.01029,0.01154,3.28013,3.27887,17494.00,17487.30,21500,21500,5.01474
3.30525,3.30525,0.00744,0.01029,3.29781,3.29496,17588.30,17573.10,21600,21600,5.01403
3.32039,3.32039,0.00783,0.01079,3.31256,3.30960,17667.00,17651.20,21700,21700,5.01379
3.33569,3.33569,0.00775,0.01015,3.32794,3.32554,17749.00,17736.20,21800,21800,5.01379
3.35123,3.35123,0.00818,0.01099,3.34305,3.34024,17829.60,17814.60,21900,21900,5.01414
3.36676,3.36676,0.00820,0.01092,3.35856,3.35584,17912.30,17897.80,22000,22000,5.01448
3.38147,3.38147,0.00844,0.01037,3.37303,3.37110,17989.50,17979.20,22100,22100,5.01360
3.39706,3.39706,0.00828,0.01045,3.38878,3.38661,18073.50,18061.90,22200,22200,5.01403
3.41229,3.41229,0.00884,0.01064,3.40344,3.40164,18151.70,18142.10,22300,22300,5.01392
3.42740,3.42740,0.00775,0.00970,3.41964,3.41769,18238.10,18227.70,22400,22400,5.01364
3.44297,3.44297,0.00898,0.01100,3.43399,3.43196,18314.60,18303.80,22500,22500,5.01403
3.45765,3.45765,0.00789,0.01037,3.44976,3.44728,18398.70,18385.50,22600,22600,5.01313
3.47299,3.47299,0.00846,0.01110,3.46453,3.46189,18477.50,18463.40,22700,22700,5.01319
3.48749,3.48749,0.00713,0.00935,3.48036,3.47814,18561.90,18550.10,22800,22800,5.01204
3.50365,3.50365,0.00929,0.01141,3.49436,3.49224,18636.60,18625.30,22900,22900,5.01328
3.51891,3.51891,0.00844,0.01090,3.51047,3.50801,18722.50,18709.40,23000,23000,5.01323
3.53400,3.53400,0.00926,0.01089,3.52474,3.52311,18798.60,18789.90,23100,23100,5.01293
3.54898,3.54898,0.00793,0.00962,3.54105,3.53936,18885.60,18876.60,23200,23200,5.01248
3.56386,3.56386,0.00817,0.00956,3.55569,3.55431,18963.70,18956.30,23300,23300,5.01189
3.58002,3.58002,0.00915,0.01054,3.57086,3.56947,19044.60,19037.20,23400,23400,5.01309
3.59499,3.59499,0.00911,0.01065,3.58588,3.58434,19124.70,19116.50,23500,23500,5.01264
3.60974,3.60974,0.00623,0.00938,3.60351,3.60036,19218.70,19201.90,23600,23600,5.01188
3.62510,3.62510,0.00671,0.00988,3.61839,3.61522,19298.10,19281.20,23700,23700,5.01197
3.64067,3.64067,0.00699,0.01033,3.63367,3.63034,19379.60,19361.80,23800,23800,5.01234
3.65612,3.65612,0.00797,0.01087,3.64815,3.64524,19456.80,19441.30,23900,23900,5.01255
3.67070,3.67070,0.00627,0.00924,3.66442,3.66146,19543.60,19527.80,24000,24000,5.01158
3.68634,3.68634,0.00746,0.00984,3.67888,3.67650,19620.70,19608.00,24100,24100,5.01204
3.70187,3.70187,0.00715,0.00945,3.69472,3.69242,19705.20,19692.90,24200,24200,5.01236
3.71731,3.71731,0.00837,0.01088,3.70894,3.70642,19781.00,19767.60,24300,24300,5.01255
3.73223,3.73223,0.00737,0.00956,3.72486,3.72266,19865.90,19854.20,24400,24400,5.01204
3.74751,3.74751,0.00795,0.01026,3.73956,3.73725,19944.30,19932.00,24500,24500,5.01203
3.76216,3.76216,0.00578,0.00783,3.75638,3.75433,20034.00,20023.10,24600,24600,5.01116
3.77744,3.77744,0.00689,0.00897,3.77055,3.76847,20109.60,20098.50,24700,24700,5.01114
3.79267,3.79267,0.00564,0.00797,3.78703,3.78471,20197.50,20185.10,24800,24800,5.01107
3.80781,3.80781,0.00613,0.00805,3.80167,3.79976,20275.60,20265.40,24900,24900,5.01086
3.82329,3.82329,0.00601,0.00804,3.81728,3.81525,20358.80,20348.00,25000,25000,5.01111
3.83858,3.83858,0.00679,0.00809,3.83179,3.83049,20436.20,20429.30,25100,25100,5.01111
3.85379,3.85379,0.00670,0.00790,3.84709,3.84589,20517.80,20511.40,25200,25200,5.01099
3.86917,3.86917,0.00721,0.00854,3.86196,3.86063,20597.10,20590.00,25300,25300,5.01111
3.88442,3.88442,0.00684,0.00804,3.87758,3.87637,20680.40,20674.00,25400,25400,5.01105
3.89988,3.89988,0.00731,0.00868,3.89258,3.89121,20760.40,20753.10,25500,25500,5.01128
3.91510,3.91510,0.00453,0.00706,3.91058,3.90804,20856.40,20842.90,25600,25600,5.01118
3.93040,3.93040,0.00557,0.00810,3.92483,3.92229,20932.40,20918.90,25700,25700,5.01118
3.94574,3.94574,0.00503,0.00782,3.94071,3.93791,21017.10,21002.20,25800,25800,5.01124
3.96098,3.96098,0.00573,0.00828,3.95526,3.95271,21094.70,21081.10,25900,25900,5.01118
3.97646,3.97646,0.00498,0.00761,3.97147,3.96885,21181.20,21167.20,26000,26000,5.01141
3.99189,3.99189,0.00624,0.00897,3.98565,3.98291,21256.80,21242.20,26100,26100,5.01158
4.00682,4.00682,0.00563,0.00758,4.00119,3.99924,21339.70,21329.30,26200,26200,5.01113
4.02225,4.02225,0.00639,0.00836,4.01586,4.01389,21417.90,21407.40,26300,26300,5.01129
4.03739,4.03739,0.00537,0.00729,4.03202,4.03011,21504.10,21493.90,26400,26400,5.01111
4.05287,4.05287,0.00605,0.00787,4.04681,4.04499,21583.00,21573.30,26500,26500,5.01133
4.06778,4.06778,0.00561,0.00762,4.06217,4.06016,21664.90,21654.20,26600,26600,5.01086
4.08322,4.08322,0.00684,0.00825,4.07638,4.07498,21740.70,21733.20,26700,26700,5.01105
4.09846,4.09846,0.00618,0.00760,4.09228,4.09086,21825.50,21817.90,26800,26800,5.01097
4.11390,4.11390,0.00694,0.00833,4.10696,4.10558,21903.80,21896.40,26900,26900,5.01116
4.12890,4.12890,0.00658,0.00816,4.12232,4.12074,21985.70,21977.30,27000,27000,5.01081
4.14458,4.14458,0.00756,0.00899,4.13702,4.13559,22064.10,22056.50,27100,27100,5.01128
4.15960,4.15960,0.00670,0.00733,4.15290,4.15226,22148.80,22145.40,27200,27200,5.01094
4.17544,4.17544,0.00787,0.00853,4.16756,4.16691,22227.00,22223.50,27300,27300,5.01159
4.19065,4.19065,0.00721,0.00779,4.18344,4.18286,22311.70,22308.60,27400,27400,5.01150
4.20569,4.20569,0.00802,0.00856,4.19767,4.19713,22387.60,22384.70,27500,27500,5.01120
4.22138,4.22138,0.00770,0.00822,4.21369,4.21316,22473.00,22470.20,27600,27600,5.01167
4.23625,4.23625,0.00589,0.00781,4.23036,4.22844,22561.90,22551.70,27700,27700,5.01116
4.25162,4.25162,0.00531,0.00750,4.24631,4.24412,22647.00,22635.30,27800,27800,5.01126
4.26687,4.26687,0.00636,0.00839,4.26051,4.25848,22722.70,22711.90,27900,27900,5.01120
4.28240,4.28240,0.00571,0.00778,4.27669,4.27462,22809.00,22798.00,28000,28000,5.01148
4.29744,4.29744,0.00581,0.00793,4.29163,4.28951,22888.70,22877.40,28100,28100,5.01118
4.31306,4.31306,0.00635,0.00727,4.30671,4.30579,22969.10,22964.20,28200,28200,5.01156
4.32817,4.32817,0.00645,0.00744,4.32172,4.32073,23049.20,23043.90,28300,28300,5.01135
4.34361,4.34361,0.00634,0.00766,4.33727,4.33596,23132.10,23125.10,28400,28400,5.01152
4.35853,4.35853,0.00671,0.00776,4.35182,4.35077,23209.70,23204.10,28500,28500,5.01109
